Epoch 2: pi_loss 0.5674, v_loss 0.3673
Epoch 3: pi_loss 0.5397, v_loss 0.3548
Epoch 4: pi_loss 0.5290, v_loss 0.3492
Epoch 5: pi_loss 0.5218, v_loss 0.3456
Epoch 6: pi_loss 0.5172, v_loss 0.3431
Epoch 7: pi_loss 0.5134, v_loss 0.3417
Epoch 8: pi_loss 0.5105, v_loss 0.3402
Epoch 9: pi_loss 0.5081, v_loss 0.3393
Epoch 10: pi_loss 0.5059, v_loss 0.3391
Epoch 1: pi_loss 0.6861, v_loss 0.4365
Epoch 2: pi_loss 0.5946, v_loss 0.3799
Epoch 3: pi_loss 0.5556, v_loss 0.3621
Epoch 4: pi_loss 0.5382, v_loss 0.3543
Epoch 5: pi_loss 0.5288, v_loss 0.3495
Epoch 6: pi_loss 0.5225, v_loss 0.3466
Epoch 7: pi_loss 0.5183, v_loss 0.3447
Epoch 8: pi_loss 0.5147, v_loss 0.3426
Epoch 9: pi_loss 0.5119, v_loss 0.3415
Epoch 10: pi_loss 0.5093, v_loss 0.3400
Epoch 1: pi_loss 0.7287, v_loss 0.4646
Epoch 2: pi_loss 0.6195, v_loss 0.3925
Epoch 3: pi_loss 0.5698, v_loss 0.3700
Epoch 4: pi_loss 0.5467, v_loss 0.3597
Epoch 5: pi_loss 0.5344, v_loss 0.3543
Epoch 6: pi_loss 0.5271, v_loss 0.3502
Epoch 7: pi_loss 0.5219, v_loss 0.3479
Epoch 8: pi_loss 0.5172, v_loss 0.3460
Epoch 9: pi_loss 0.5144, v_loss 0.3446
Epoch 10: pi_loss 0.5112, v_loss 0.3428
Epoch 1: pi_loss 0.7722, v_loss 0.4933
Epoch 2: pi_loss 0.6476, v_loss 0.4085
Epoch 3: pi_loss 0.5859, v_loss 0.3804
Epoch 4: pi_loss 0.5569, v_loss 0.3685
Epoch 5: pi_loss 0.5413, v_loss 0.3622
Epoch 6: pi_loss 0.5324, v_loss 0.3580
Epoch 7: pi_loss 0.5255, v_loss 0.3546
Epoch 8: pi_loss 0.5206, v_loss 0.3520
Epoch 9: pi_loss 0.5171, v_loss 0.3502
Epoch 10: pi_loss 0.5135, v_loss 0.3485
Epoch 1: pi_loss 0.5741, v_loss 0.3829
Epoch 2: pi_loss 0.5335, v_loss 0.3617
Epoch 3: pi_loss 0.5197, v_loss 0.3540
Epoch 4: pi_loss 0.5133, v_loss 0.3502
Epoch 5: pi_loss 0.5090, v_loss 0.3477
Epoch 6: pi_loss 0.5058, v_loss 0.3464
Epoch 7: pi_loss 0.5030, v_loss 0.3443
Epoch 8: pi_loss 0.5009, v_loss 0.3439
Epoch 9: pi_loss 0.4989, v_loss 0.3426
Epoch 10: pi_loss 0.4969, v_loss 0.3420
Epoch 1: pi_loss 0.5635, v_loss 0.3684
Epoch 2: pi_loss 0.5235, v_loss 0.3503
Epoch 3: pi_loss 0.5092, v_loss 0.3435
Epoch 4: pi_loss 0.5028, v_loss 0.3399
Epoch 5: pi_loss 0.4992, v_loss 0.3384
Epoch 6: pi_loss 0.4967, v_loss 0.3377
Epoch 7: pi_loss 0.4947, v_loss 0.3366
Epoch 8: pi_loss 0.4924, v_loss 0.3355
Epoch 9: pi_loss 0.4910, v_loss 0.3344
